SV3523,M4994,U8087,0/0/0,KHMT,TGMT,CNTT,KTPM,HTTT,MMT&VT,KHMT,1,9.07143,8.72222
SV7865,O9872,U7583,0/0/0,KHMT,TGMT,CNTT,KTPM,HTTT,MMT&VT,KHMT,1,8.85714,8.79286
SV3933,O1568,N483,0/0/0,KHMT,CNTT,TGMT,HTTT,MMT&VT,KTPM,KHMT,1,8.71429,8.54861
SV171,S5306,Q4664,0/0/0,KHMT,KTPM,HTTT,TGMT,CNTT,MMT&VT,KHMT,1,8.71429,8.46528
SV9747,B44,D381,0/0/0,KHMT,TGMT,CNTT,HTTT,KTPM,MMT&VT,KHMT,1,8.57143,8.63433
SV3869,M6358,U118,0/0/0,KHMT,TGMT,CNTT,HTTT,MMT&VT,KTPM,KHMT,1,8.42857,8.5
SV5421,A2284,O2004,0/0/0,KHMT,TGMT,KTPM,CNTT,HTTT,MMT&VT,KHMT,1,8.375,7.475
SV2609,T4236,U5318,0/0/0,KHMT,TGMT,HTTT,CNTT,KTPM,MMT&VT,KHMT,1,8.35714,8.40278
SV9242,C5340,O2180,0/0/0,KHMT,KTPM,TGMT,CNTT,HTTT,MMT&VT,KHMT,1,8.35714,8.23611
SV7020,B9812,I6735,0/0/0,KHMT,TGMT,CNTT,KTPM,HTTT,MMT&VT,KHMT,1,8.35714,8.17647
SV3232,O9912,I9691,0/0/0,KHMT,TGMT,CNTT,HTTT,KTPM,MMT&VT,KHMT,1,8.3,8.0125
SV9800,S1334,L7755,0/0/0,KHMT,TGMT,KTPM,HTTT,MMT&VT,CNTT,KHMT,1,8.28571,8.38571
SV9559,G6192,O3339,0/0/0,KHMT,KTPM,TGMT,CNTT,HTTT,MMT&VT,KHMT,1,8.28571,8.35417
SV9770,T4178,R3750,0/0/0,KHMT,KTPM,CNTT,TGMT,HTTT,MMT&VT,KHMT,1,8.28571,8.33333
SV5299,M6404,I2459,0/0/0,KHMT,TGMT,CNTT,MMT&VT,HTTT,KTPM,KHMT,1,8.28571,8.32639
SV2534,G9480,E6865,0/0/0,KHMT,KTPM,TGMT,HTTT,CNTT,MMT&VT,KHMT,1,8.28571,8.14286
SV1826,K2098,V3094,0/0/0,KHMT,TGMT,CNTT,HTTT,KTPM,MMT&VT,KHMT,1,8.21429,8.25
SV9749,O2228,R9969,0/0/0,KHMT,KTPM,TGMT,CNTT,HTTT,MMT&VT,KHMT,1,8.07143,8.5
SV7477,M210,L9426,0/0/0,KHMT,KTPM,CNTT,TGMT,HTTT,MMT&VT,KHMT,1,8,8.66129
SV9196,K3768,O655,0/0/0,KHMT,HTTT,CNTT,KTPM,TGMT,MMT&VT,KHMT,1,8,8.27778
SV7312,O1882,I6322,0/0/0,KHMT,KTPM,CNTT,HTTT,TGMT,MMT&VT,KHMT,1,8,8
SV3097,O6770,W884,0/0/0,KHMT,TGMT,CNTT,KTPM,HTTT,MMT&VT,KHMT,1,8,7.93421
SV6025,M6020,I7893,0/0/0,KHMT,TGMT,CNTT,MMT&VT,HTTT,KTPM,KHMT,1,8,7.80597
SV9985,S2068,V1090,0/0/0,KHMT,TGMT,CNTT,KTPM,HTTT,MMT&VT,KHMT,1,8,7.625
SV8189,M706,L2578,0/0/0,KHMT,HTTT,KTPM,CNTT,TGMT,MMT&VT,KHMT,1,8,7.35714
SV2958,S264,C9705,0/0/0,KHMT,CNTT,TGMT,HTTT,KTPM,MMT&VT,KHMT,1,7.9,8.14773
SV8351,K7838,O514,0/0/0,KHMT,TGMT,CNTT,KTPM,MMT&VT,HTTT,KHMT,1,7.85714,8
SV3851,M3530,T7695,0/0/0,KHMT,CNTT,TGMT,HTTT,KTPM,MMT&VT,KHMT,1,7.85714,7.16875
SV9,M3842,Q8718,0/0/0,KHMT,KTPM,TGMT,CNTT,HTTT,MMT&VT,KHMT,1,7.78571,7.65278
SV9887,O4816,T6993,0/0/0,KHMT,HTTT,CNTT,TGMT,MMT&VT,KTPM,KHMT,1,7.71429,8.27778
SV3873,M7296,M9366,0/0/0,KHMT,TGMT,CNTT,MMT&VT,HTTT,KTPM,KHMT,1,7.71429,8.15972
SV8019,M9388,M1853,0/0/0,KHMT,KTPM,HTTT,CNTT,TGMT,MMT&VT,KHMT,1,7.71429,7.77083
SV157,M4014,U8855,0/0/0,KHMT,KTPM,TGMT,CNTT,HTTT,MMT&VT,KHMT,1,7.71429,7.29286
SV1719,M9202,I9323,0/0/0,KHMT,KTPM,CNTT,TGMT,HTTT,MMT&VT,KHMT,1,7.64286,7.75325
SV1916,K668,R3557,0/0/0,KHMT,HTTT,KTPM,CNTT,TGMT,MMT&VT,KHMT,1,7.57143,8
SV1777,M9540,Q8830,0/0/0,KHMT,TGMT,CNTT,KTPM,HTTT,MMT&VT,KHMT,1,7.57143,7.94928
SV5295,S1664,R9365,0/0/0,KHMT,HTTT,KTPM,TGMT,MMT&VT,CNTT,KHMT,1,7.57143,7.45714
SV7043,U4846,M8141,0/0/0,KHMT,KTPM,TGMT,CNTT,HTTT,MMT&VT,KHMT,1,7.57143,7.09028
SV6274,U8664,D5668,0/0/0,KHMT,KTPM,CNTT,HTTT,TGMT,MMT&VT,KHMT,1,7.5,7.81944
SV87,S7854,O5522,0/0/0,KHMT,TGMT,KTPM,CNTT,MMT&VT,HTTT,KHMT,1,7.42857,7.38889
SV8046,T1276,U863,0/0/0,KHMT,HTTT,CNTT,KTPM,MMT&VT,TGMT,KHMT,1,7.35714,7.70833
SV7466,O6064,Y1125,0/0/0,KHMT,KTPM,TGMT,CNTT,HTTT,MMT&VT,KHMT,1,7.28571,7.93056
SV4129,G8900,U9423,0/0/0,KTPM,KHMT,CNTT,HTTT,TGMT,MMT&VT,KHMT,2,7.28571,7.09028
SV4586,M5626,O6053,0/0/0,KTPM,KHMT,HTTT,TGMT,MMT&VT,CNTT,KHMT,2,7.25,7.86029
SV3928,S5306,U8240,0/0/0,KHMT,HTTT,TGMT,CNTT,MMT&VT,KTPM,KHMT,1,7.21429,7.61688
SV8860,M7970,I814,0/0/0,KHMT,CNTT,KTPM,HTTT,TGMT,MMT&VT,KHMT,1,7.21429,7.50714
SV8221,G6438,U3241,0/0/0,KHMT,MMT&VT,HTTT,TGMT,CNTT,KTPM,KHMT,1,7.21429,7.41045
SV3510,M5808,U9229,0/0/0,KHMT,CNTT,KTPM,TGMT,HTTT,MMT&VT,KHMT,1,7.14286,7.46377
SV1165,U4260,I3959,0/0/0,KHMT,HTTT,CNTT,KTPM,TGMT,MMT&VT,KHMT,1,7.14286,7.28571
SV9269,M400,M4718,0/0/0,KTPM,KHMT,HTTT,CNTT,TGMT,MMT&VT,KHMT,2,7.14286,7.03623
SV624,A468,U5459,0/0/0,KTPM,KHMT,HTTT,TGMT,CNTT,MMT&VT,KHMT,2,7.14286,6.88961
SV3394,O7692,W9753,0/0/0,KTPM,KHMT,HTTT,MMT&VT,CNTT,TGMT,KHMT,2,7.14286,6.77083
SV4543,A4126,V3121,0/0/0,KTPM,KHMT,HTTT,TGMT,MMT&VT,CNTT,KHMT,2,7.07143,7.55714
SV7158,L1456,O9407,0/0/0,KHMT,KTPM,CNTT,TGMT,MMT&VT,HTTT,KHMT,1,7.07143,7.26
SV8231,T6064,L8705,0/0/0,KTPM,KHMT,CNTT,TGMT,HTTT,MMT&VT,KHMT,2,7.07143,7.18056
SV2011,M7798,N5000,0/0/0,KHMT,HTTT,CNTT,KTPM,TGMT,MMT&VT,KHMT,1,7.07143,7.13194
SV7934,T6730,U5773,0/0/0,KHMT,KTPM,CNTT,HTTT,TGMT,MMT&VT,KHMT,1,7.07143,7.08571
SV1770,A7232,O943,0/0/0,KTPM,KHMT,MMT&VT,TGMT,HTTT,CNTT,KHMT,2,7,7.28125
SV2364,K136,M3671,0/0/0,KTPM,KHMT,CNTT,HTTT,TGMT,MMT&VT,KHMT,2,7,7.2625
SV1705,M7758,W8223,0/0/0,KHMT,HTTT,CNTT,KTPM,TGMT,MMT&VT,KHMT,1,7,7.25333
